student_id,minutes_watched,paid_in_q2
2385,367.62,1
2397,1425.26,1
2398,0.84,1
2403,2.37,1
2406,72.00,1
2409,3297.90,1
2410,462.68,1
2414,219.82,1
2417,141.69,1
2429,48.36,1
2431,25.16,1
2437,216.66,1
2441,376.00,1
2447,574.28,1
2463,20.94,1
2477,54.48,1
2493,11913.30,1
2495,0.36,1
2501,1885.65,1
2506,34.50,1
2516,72.40,1
2529,169.34,1
2536,1810.76,1
2544,31.40,1
2546,287.61,1
2550,28.86,1
2555,211.60,1
2575,155.70,1
2577,3.45,1
2582,3155.04,1
2591,10045.62,1
2617,158.37,1
2620,147.06,1
2621,221.12,1
2622,15.87,1
2629,648.21,1
2630,180.10,1
2636,4462.71,1
2641,4.60,1
2642,148.72,1
2644,314.34,1
2650,30.20,1
2651,57.92,1
2653,1338.80,1
2655,162.00,1
2657,140.85,1
2661,5.18,1
2663,203.84,1
2671,10.38,1
2685,24.36,1
2688,826.34,1
2692,473.75,1
2698,84.34,1
2706,918.18,1
2708,0.34,1
2710,17.15,1
2719,98.40,1
2723,229.56,1
2725,53.80,1
2726,13.16,1
2731,119.49,1
2738,0.28,1
2741,4.50,1
2743,11.23,1
2750,14.98,1
2754,901.28,1
2761,0.30,1
2764,475.15,1
2772,1272.78,1
2774,557.95,1
2793,158.56,1
2797,39.58,1
2803,182.38,1
2805,248.62,1
2811,7851.69,1
2813,34.70,1
2815,1863.42,1
2819,81.15,1
2820,0.32,1
2821,351.25,1
2824,43.94,1
2825,2.34,1
2826,24.44,1
2827,3307.14,1
2830,2508.20,1
2831,80.36,1
2833,5.26,1
2839,290.97,1
2840,2.24,1
2843,19.63,1
2851,1506.24,1
2859,798.50,1
2866,14675.22,1
2877,518.52,1
2887,1133.00,1
2894,1.50,1
2899,4060.20,1
2911,8.10,1
2917,3136.20,1
2918,4208.54,1
2920,22.80,1
2922,433.32,1
2928,4.06,1
2929,639.03,1
2930,1329.00,1
2933,91.90,1
2938,1331.20,1
2943,2284.16,1
2950,0.26,1
2954,2844.00,1
2967,3.01,1
2973,1304.92,1
2978,70.46,1
2984,1944.75,1
3002,1377.88,1
3011,586.38,1
3016,145.02,1
3017,166.62,1
3022,507.85,1
3030,50.20,1
3031,136.78,1
3034,4.36,1
3048,20.78,1
3050,27.88,1
3062,75.70,1
3070,2590.89,1
3074,25.30,1
3075,350.91,1
3080,343.00,1
3082,26.25,1
3090,41.80,1
3092,1218.20,1
3099,83.88,1
3107,54.86,1
3112,44.84,1
3115,103.44,1
3130,0.46,1
3138,26.58,1
3146,1.08,1
3147,47.16,1
3148,297.78,1
3161,114.78,1
3162,807.94,1
3182,0.13,1
3187,153.74,1
3188,1218.10,1
3199,15.88,1
3213,1575.36,1
3215,531.96,1
3219,300.80,1
3221,280.89,1
3239,756.80,1
3248,68.46,1
3266,5.95,1
3272,835.98,1
3286,11.94,1
3288,186.98,1
3291,2758.94,1
3297,193.80,1
3303,886.44,1
3305,1233.60,1
3316,0.20,1
3338,1590.66,1
3359,2234.56,1
3364,380.43,1
3366,188.62,1
3367,1121.23,1
3379,1.40,1
3381,54.95,1
3393,20.34,1
3402,26.46,1
3414,0.23,1
3416,1.05,1
3419,2.54,1
3420,1408.71,1
3423,908.70,1
3426,17.50,1
3430,1346.00,1
3441,45.70,1
3447,20.20,1
3453,295.82,1
3466,503.40,1
3467,17.23,1
3468,2016.90,1
3470,20.23,1
3471,468.80,1
3473,35.80,1
3478,1648.34,1
3481,5.94,1
3494,816.21,1
3495,0.24,1
3498,1724.83,1
3512,383.12,1
3513,716.34,1
3524,349.26,1
3538,1083.85,1
3550,167.32,1
3558,1245.44,1
3575,507.56,1
3589,0.28,1
3598,100.56,1
3611,67.85,1
3613,1191.22,1
3626,824.05,1
3641,577.65,1
3643,2085.23,1
3647,1207.36,1
3659,5.37,1
3661,31.27,1
3663,903.43,1
3675,7.76,1
3679,19.55,1
3681,273.80,1
3685,4.75,1
3687,779.38,1
3688,170.40,1
3691,260.04,1
3698,11556.51,1
3700,131.03,1
3702,73.38,1
3704,21.83,1
3707,662.27,1
3708,1.33,1
3709,1440.35,1
